"cd_geouf","cd_geocmu","regiao","uf","estado","municipio","bioma","arcodesmat","matopiba","mun_ha","area_ha","year"
"50","5003488","CENTRO-OESTE","MS","MATO GROSSO DO SUL","DOIS IRMÃOS DO BURITI","CERRADO","0","0","234164.89999999999","120721.19349935","2017"
"31","3123502","SUDESTE","MG","MINAS GERAIS","DOURADOQUARA","CERRADO","0","0","31287.80000000000","15951.53736456","2017"
"35","3514502","SUDESTE","SP","SÃO PAULO","DUARTINA","CERRADO","0","0","26455.70000000000","1263.74762697","2017"
"50","5003702","CENTRO-OESTE","MS","MATO GROSSO DO SUL","DOURADOS","CERRADO","0","0","408623.70000000001","41176.94477444","2017"
"35","3514601","SUDESTE","SP","SÃO PAULO","DUMONT","CERRADO","0","0","11137.60000000000","4.17338382","2017"
"31","3120904","SUDESTE","MG","MINAS GERAIS","CURVELO","CERRADO","0","0","329620.00000000000","135895.43765012","2017"
"35","3514700","SUDESTE","SP","SÃO PAULO","ECHAPORÃ","CERRADO","0","0","51525.80000000000","7537.00444030","2017"
"52","5207352","CENTRO-OESTE","GO","GOIÁS","EDEALINA","CERRADO","0","0","60365.40000000000","21774.16609129","2017"
"35","3515152","SUDESTE","SP","SÃO PAULO","ENGENHEIRO COELHO","CERRADO","0","0","10994.10000000000","791.73591665","2017"
"31","3123809","SUDESTE","MG","MINAS GERAIS","ENGENHEIRO NAVARRO","CERRADO","0","0","60830.60000000000","32119.89956759","2017"
"52","5207402","CENTRO-OESTE","GO","GOIÁS","EDÉIA","CERRADO","0","0","146150.29999999999","39301.94490923","2017"
"31","3123205","SUDESTE","MG","MINAS GERAIS","DORES DO INDAIÁ","CERRADO","0","0","111120.20000000000","77223.01848898","2017"
"35","3515186","SUDESTE","SP","SÃO PAULO","ESPÍRITO SANTO DO PINHAL","CERRADO","0","0","38923.50000000000","6049.41908429","2017"
"35","3515194","SUDESTE","SP","SÃO PAULO","ESPÍRITO SANTO DO TURVO","CERRADO","0","0","19366.60000000000","3412.07060703","2017"
"35","3557303","SUDESTE","SP","SÃO PAULO","ESTIVA GERBI","CERRADO","0","0","7414.40000000000","1401.14095795","2017"
"31","3124302","SUDESTE","MG","MINAS GERAIS","ESPINOSA","CERRADO","0","0","186897.00000000000","33044.43204354","2017"
"31","3119302","SUDESTE","MG","MINAS GERAIS","COROMANDEL","CERRADO","0","0","331311.59999999998","99621.87025290","2017"
"52","5207501","CENTRO-OESTE","GO","GOIÁS","ESTRELA DO NORTE","CERRADO","0","0","30164.20000000000","15914.29050386","2017"
"31","3124104","SUDESTE","MG","MINAS GERAIS","ESMERALDAS","CERRADO","0","0","90967.89999999999","40263.09011487","2017"
"31","3124807","SUDESTE","MG","MINAS GERAIS","ESTRELA DO SUL","CERRADO","0","0","82245.39999999999","35233.29320595","2017"
"31","3124708","SUDESTE","MG","MINAS GERAIS","ESTRELA DO INDAIÁ","CERRADO","0","0","63598.10000000000","41441.71602592","2017"
"29","2910776","NORDESTE","BA","BAHIA","FEIRA DA MATA","CERRADO","0","0","117611.10000000001","0.26014370","2017"
"31","3125408","SUDESTE","MG","MINAS GERAIS","FELÍCIO DOS SANTOS","CERRADO","0","0","35762.20000000000","2103.57115222","2017"
